#TYPE Selected.System.Diagnostics.Process
"Id","Name","StartTime","PagedMemorySize"
"908","chrome","29.07.2021 8:30:20","10629120"
"1276","chrome","29.07.2021 9:52:27","7548928"
"1896","chrome","29.07.2021 8:30:17","68464640"
"3624","chrome","29.07.2021 8:30:36","8093696"
"4976","chrome","29.07.2021 9:54:18","65273856"
"7672","chrome","29.07.2021 8:30:20","182829056"
"8176","chrome","29.07.2021 9:52:27","53764096"
"8800","chrome","29.07.2021 9:55:22","72945664"
"8812","chrome","29.07.2021 9:55:32","12869632"
"9084","chrome","29.07.2021 8:30:19","2281472"
"9232","chrome","29.07.2021 8:30:20","21528576"
